epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,val_prec_macro,val_recall_macro,val_kappa
1,0.3962765575265939,0.21773107533839325,0.8636640528087897,0.9248737373737373,0.9248307270867624,0.9250128476119528,0.924873549139898,0.906092175213405
2,0.20620450051113548,0.2278499599263365,0.9292735468722311,0.9249291157185894,0.9237341712335583,0.9268157285854874,0.9249280295272009,0.9061613708602878
3,0.15003201902347074,0.14947959972574135,0.9487888755980861,0.9489300903774588,0.9487039164195809,0.9493097488998072,0.948929753851117,0.9361626100821989
4,0.11778094465818752,0.09408841274567654,0.9600888268651426,0.9677255006202374,0.9676074727154127,0.9677871124298578,0.9677252451937909,0.9596568753348439
5,0.0953465976675432,0.09382923836503006,0.967700580365054,0.9685894027999291,0.9686304956339831,0.9694297037451433,0.9685895655622911,0.9607367618672698
6,0.07923267571349307,0.06306664214300184,0.97291168261563,0.9788122452596136,0.9787107262986094,0.9788234189012222,0.9788119987963688,0.9735153055056326
7,0.0671970293856002,0.057026054753004304,0.9775579257487153,0.9803739145844409,0.9803812281395748,0.9806046183419147,0.9803739819168147,0.9754673957840486
8,0.05813187148424726,0.05092695009695266,0.9803517632465001,0.9838405989721779,0.9837935300305928,0.9838308970246642,0.9838403785190561,0.9798007475438182
9,0.05066353384901403,0.06202030365948832,0.9826998050682261,0.9787014885699096,0.9787531932355085,0.9790783451906,0.9787014095535929,0.973376861760732
10,0.045247917754351816,0.06404537796137431,0.984660198475988,0.9790116073010809,0.9790084078769674,0.9791892225670582,0.979011610352428,0.9737645113502097
