epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,val_prec_macro,val_recall_macro,val_kappa
1,0.3936499902166871,0.26672481458582903,0.8647633129541025,0.9058900407584618,0.9058888816140348,0.9119714174192847,0.9058903582864891,0.8823625404281412
2,0.19693105778406533,0.17411707324671755,0.9332054093567251,0.9404904306220095,0.9410768865751823,0.9433846430810631,0.9404905644131446,0.9256130362677126
3,0.14464098173810058,0.1156072956131626,0.9510566188197768,0.9604044834307992,0.9604616230859289,0.9609770681444012,0.9604046710895127,0.9505056028298212
4,0.11350751080605212,0.1272888343090708,0.9613902179691654,0.9567384370015949,0.9571941231141661,0.959428886871432,0.9567387665888848,0.9459230436797981
5,0.09191232300940297,0.07340741274295647,0.9688164540138224,0.9746256423888002,0.9745888267688754,0.9747690778737965,0.9746260173778223,0.9682820562290273
6,0.07636257549784134,0.0762853662161705,0.974030325181641,0.9723994329257487,0.9724732695383219,0.973005028325493,0.9723996781263657,0.9654992901351054
7,0.06493056439042429,0.08594526447203979,0.978178163211058,0.9708156122629806,0.9708798068483813,0.9713940433663248,0.9708157005651975,0.9635195141249301
8,0.055781307875789984,0.05905602929046794,0.9810163033847245,0.981005227715754,0.9808962117848017,0.9810683329775172,0.981005536221355,0.9762565367446924
9,0.04842947232829299,0.06163107067905589,0.9835194045720361,0.9790337586390218,0.9790061228098039,0.9792499500192363,0.9790338918451669,0.9737921971848065
10,0.0434513731309153,0.062225492296943345,0.9852139819245083,0.9772173489278753,0.977452582804629,0.9784406652751239,0.9772170905642916,0.9715216811939077
