epoch,accuracy,loss,val_accuracy,val_loss
0,0.9407869577407837,0.21767592430114746,0.9805930852890015,0.07643749564886093
1,0.9750111103057861,0.08756701648235321,0.9858382344245911,0.05271673947572708
2,0.9833138585090637,0.05655617639422417,0.9873310327529907,0.045229703187942505
3,0.9881017804145813,0.04026435315608978,0.9919306039810181,0.030203426256775856
4,0.9907557964324951,0.028824662789702415,0.9918902516365051,0.028811944648623466
5,0.993118405342102,0.02203003689646721,0.9933831095695496,0.026838915422558784
6,0.9943736791610718,0.01763572357594967,0.9944724440574646,0.022721445187926292
7,0.995355486869812,0.014803343452513218,0.9947952628135681,0.02022964134812355
8,0.9962162375450134,0.012097133323550224,0.9939882755279541,0.024824919179081917
9,0.9963686466217041,0.011159909889101982,0.9961267113685608,0.01823156327009201
10,0.9969111084938049,0.009746374562382698,0.9950776696205139,0.022657543420791626
11,0.9972249269485474,0.008599478751420975,0.9962073564529419,0.018327072262763977
12,0.997552216053009,0.007397783454507589,0.9967318773269653,0.017427770420908928
13,0.9978346824645996,0.007342031225562096,0.9964091181755066,0.020802032202482224
14,0.9977584481239319,0.007076160982251167,0.9964494705200195,0.020181939005851746
15,0.9980005025863647,0.006293661892414093,0.9960863590240479,0.02173388935625553
