epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,val_prec_macro,val_recall_macro,val_kappa
1,0.5938508006222007,0.3399526656717975,0.7856768123995082,0.877433789832873,0.8761667691920929,0.8781633330416181,0.8774337099494163,0.8467922309199767
2,0.3448466631877809,0.24294993843366738,0.8841004208833823,0.9097641246632411,0.9090636112382292,0.9121589649837837,0.9097640541972647,0.8872051504709199
3,0.28058007612537633,0.21533414739723897,0.906063055660645,0.9228960602715353,0.9225771971945684,0.9243184096528638,0.9228960424738425,0.9036200740612711
4,0.2489497378871238,0.19155816758052274,0.9172154308143384,0.9332083095034367,0.9329452915170556,0.9333121916385378,0.9332083103851694,0.9165103868289706
5,0.22688566039038097,0.1718268489445293,0.9248912323843753,0.9397875777150195,0.9395868852557065,0.9401800320982299,0.9397875650934392,0.9247344714727466
6,0.21072438976357558,0.15585982860161957,0.9304825676250827,0.9452304000023645,0.9450363605879624,0.9452926786385765,0.9452303731589409,0.9315379988212374
7,0.19772246459578807,0.15960065103098495,0.9350246500520193,0.9442195690372426,0.9440306608677629,0.944685169801394,0.9442195236542478,0.9302744595273129
8,0.18716002943410526,0.14349247221464287,0.9382980232668117,0.9497377603000572,0.9495896696587712,0.9503140746724771,0.9497377279749551,0.9371721991449871
9,0.17829492670817465,0.13795037473351565,0.9413534179040953,0.9509909542451206,0.9509010436162273,0.9519365186474127,0.9509909388522038,0.9387386922505272
10,0.17026456912825688,0.12626455345803855,0.9441760557552256,0.9567973210023778,0.9566943344470118,0.9567612181690693,0.9567973104011008,0.9459966510010499
