epoch,train_loss,val_loss,train_acc,val_acc,val_f1_macro,val_prec_macro,val_recall_macro,val_kappa
1,0.5903024209564088,0.3334479865435675,0.789223426729218,0.8876176345408116,0.8869194630866971,0.8869937143189999,0.8876175135877491,0.8595220408484954
2,0.34517363264063083,0.28172231528082964,0.8844468844926969,0.9029884493521233,0.9026432165405257,0.9033061355974171,0.9029883799339606,0.8787355631115953
3,0.2770090275300952,0.22437182783488768,0.9079856326149395,0.9216474155868722,0.9215077072341202,0.9227627744500871,0.9216473425370431,0.9020592689151026
4,0.2413616318416506,0.1749574814305218,0.920514607161673,0.9389970325357041,0.9387207347291338,0.9392463324474546,0.9389969256785365,0.9237462888751778
5,0.21849765041419367,0.16565694864308153,0.9283817923468034,0.942382720136196,0.9422375860594524,0.9426993742466653,0.9423826423409125,0.9279783995892087
6,0.2029368483060565,0.17996018737157654,0.9338512114076033,0.9386068878274851,0.938414945832438,0.9384966697305224,0.9386068393516981,0.9232586099250982
7,0.18989040251841716,0.14537048121490018,0.9379048770341296,0.9504220656388915,0.9503464814113801,0.9512258172788386,0.9504219858453979,0.9380275812779603
8,0.18060404325742124,0.1462347313955898,0.9410866277063539,0.9512008772344651,0.9511946269781959,0.9514310062568972,0.9512008160133034,0.939001096223323
9,0.17249986645093954,0.1344734082892118,0.9439883311178319,0.9533850964721461,0.9531839730938849,0.9536576183673541,0.9533850528449245,0.9417313703440694
10,0.16538495707675246,0.13065588433237504,0.9463099894114056,0.9537087392414642,0.9535706631338741,0.954843847382081,0.953708696407021,0.9421359244073791
